Year,Commodity,Type,value
2007,Natural Gas,Transformation,-41656259.063412
2007,Oil,Final consumption,135166223.656545
2007,Oil,Primary production,168260607.117557
2007,Oil,Transformation,-12501257.8093475
2008,Biofuels and waste,Final consumption,36164498.2743695
2008,Biofuels and waste,Primary production,43514522.0235179
2008,Biofuels and waste,Transformation,-6769431.44310319
2008,Coal,Final consumption,40961792.7413896
2008,Coal,Primary production,144911155.344046
2008,Coal,Transformation,-100171603.768984
2008,Electricity and heat,Final consumption,72055318.80852
2008,Electricity and heat,Primary production,15075027.2122048
2008,Electricity and heat,Transformation,71314441.2797952
2008,Natural Gas,Final consumption,54005574.6491463
2008,Natural Gas,Primary production,109256224.985305
2008,Natural Gas,Transformation,-42863048.7302736
2008,Oil,Final consumption,133746217.572577
2008,Oil,Primary production,169860423.076207
2008,Oil,Transformation,-12497238.4954102
2009,Biofuels and waste,Final consumption,36520298.1281216
2009,Biofuels and waste,Primary production,43912216.890693
2009,Biofuels and waste,Transformation,-6921057.79035089
2009,Coal,Final consumption,40863722.3835835
2009,Coal,Primary production,144914338.99949
2009,Coal,Transformation,-97737237.1386057
2009,Electricity and heat,Final consumption,71343805.4799184
2009,Electricity and heat,Primary production,15643442.401602
2009,Electricity and heat,Transformation,70467913.3439928
2009,Natural Gas,Final consumption,51752572.4632122
2009,Natural Gas,Primary production,106056173.840129
2009,Natural Gas,Transformation,-42771136.6398321
2009,Oil,Final consumption,132288931.598925
2009,Oil,Primary production,166680331.189341
2009,Oil,Transformation,-12779948.25448
2010,Biofuels and waste,Final consumption,37457322.0729153
2010,Biofuels and waste,Primary production,45687372.9367419
2010,Biofuels and waste,Transformation,-7643223.14587382
2010,Coal,Final consumption,41524846.0518182
2010,Coal,Primary production,153851218.910499
2010,Coal,Transformation,-101219752.311237
2010,Electricity and heat,Final consumption,76253589.2239352
2010,Electricity and heat,Primary production,16718750.0440972
2010,Electricity and heat,Transformation,75258396.600384
2010,Natural Gas,Final consumption,55623975.5746359
2010,Natural Gas,Primary production,113449697.657005
2010,Natural Gas,Transformation,-46546543.8285732
2010,Oil,Final consumption,136878105.584554
2010,Oil,Primary production,170511689.473647
2010,Oil,Transformation,-13083946.5203641
2011,Biofuels and waste,Final consumption,37878885.2295647
2011,Biofuels and waste,Primary production,46218907.2787539
2011,Biofuels and waste,Transformation,-7825465.19483769
2011,Coal,Final consumption,43171121.6093358
2011,Coal,Primary production,162643547.506568
2011,Coal,Transformation,-107726452.926876
2011,Electricity and heat,Final consumption,78664065.2090072
2011,Electricity and heat,Primary production,17333750.2995224
2011,Electricity and heat,Transformation,77220454.4713912
2011,Natural Gas,Final consumption,57137431.6727548
2011,Natural Gas,Primary production,117570252.437178
2011,Natural Gas,Transformation,-47299225.4982117
2011,Oil,Final consumption,135818656.150244
2011,Oil,Primary production,172447239.008102
2011,Oil,Transformation,-15730008.6343027
2012,Biofuels and waste,Final consumption,38425556.9372897
2012,Biofuels and waste,Primary production,47573055.894793
2012,Biofuels and waste,Transformation,-8668565.60653792
2012,Coal,Final consumption,41961746.3599925
2012,Coal,Primary production,164406944.590483
2012,Coal,Transformation,-107738926.050682
2012,Electricity and heat,Final consumption,80437797.39498
2012,Electricity and heat,Primary production,18484731.1236968
2012,Electricity and heat,Transformation,78243642.7006432
2012,Natural Gas,Final consumption,57447221.8494184
2012,Natural Gas,Primary production,119430880.688292
2012,Natural Gas,Transformation,-49814822.235591
2012,Oil,Final consumption,138180501.527301
2012,Oil,Primary production,176094769.1272
2012,Oil,Transformation,-16888653.3056907
2013,Biofuels and waste,Final consumption,39601605.5675
2013,Biofuels and waste,Primary production,49036820.884593
2013,Biofuels and waste,Transformation,-8929645.17051557
