Region Name,Sub-region Name,Year,Source38,Electricity
Americas,Latin America and the Caribbean,1991,Natural gas,64051.81694
Americas,Latin America and the Caribbean,1991,Nuclear,13455
Americas,Latin America and the Caribbean,1991,Oil,132097.06306
Americas,Latin America and the Caribbean,1991,"Solar, wind and other sources",6336
Americas,Latin America and the Caribbean,1992,Biofuels and waste,11567.883
Americas,Latin America and the Caribbean,1992,Coal,23185
Americas,Latin America and the Caribbean,1992,Hydro,420259.6
Americas,Latin America and the Caribbean,1992,Natural gas,66002.16795
Americas,Latin America and the Caribbean,1992,Nuclear,12760
Americas,Latin America and the Caribbean,1992,Oil,138751.860938889
Americas,Latin America and the Caribbean,1992,"Solar, wind and other sources",6682
Americas,Latin America and the Caribbean,1993,Biofuels and waste,11285.75
Americas,Latin America and the Caribbean,1993,Coal,25444
Americas,Latin America and the Caribbean,1993,Hydro,455140
Americas,Latin America and the Caribbean,1993,Natural gas,72011.63179
Americas,Latin America and the Caribbean,1993,Nuclear,14481
Americas,Latin America and the Caribbean,1993,Oil,138000.380432222
Americas,Latin America and the Caribbean,1993,"Solar, wind and other sources",6792
Americas,Latin America and the Caribbean,1994,Biofuels and waste,11866.472222
Americas,Latin America and the Caribbean,1994,Coal,30414.7
Americas,Latin America and the Caribbean,1994,Hydro,469834.4
Americas,Latin America and the Caribbean,1994,Natural gas,75912.92527
Americas,Latin America and the Caribbean,1994,Nuclear,14274
Americas,Latin America and the Caribbean,1994,Oil,149672.31972
Americas,Latin America and the Caribbean,1994,"Solar, wind and other sources",6887
Americas,Latin America and the Caribbean,1995,Biofuels and waste,12432.511111
Americas,Latin America and the Caribbean,1995,Coal,34145.3
Americas,Latin America and the Caribbean,1995,Hydro,492705
Americas,Latin America and the Caribbean,1995,Natural gas,84917.15835
Americas,Latin America and the Caribbean,1995,Nuclear,18028
Americas,Latin America and the Caribbean,1995,Oil,146841.504983667
Americas,Latin America and the Caribbean,1995,"Solar, wind and other sources",7180
Americas,Latin America and the Caribbean,1996,Biofuels and waste,12877.944444
Americas,Latin America and the Caribbean,1996,Coal,38552
Americas,Latin America and the Caribbean,1996,Hydro,514957.5
Americas,Latin America and the Caribbean,1996,Natural gas,89593.0555555556
Americas,Latin America and the Caribbean,1996,Nuclear,17766
Americas,Latin America and the Caribbean,1996,Oil,152002.828049222
Americas,Latin America and the Caribbean,1996,"Solar, wind and other sources",7322.1
Americas,Latin America and the Caribbean,1997,Biofuels and waste,13394.9
Americas,Latin America and the Caribbean,1997,Coal,40755.6
