,series_id,name,iso,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INTL.26-4-TCA-BCF.A,"Dry natural gas exports, Turks and Caicos Islands, Annual",TCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-TCD-BCF.A,"Dry natural gas exports, Chad, Annual",TCD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-TGO-BCF.A,"Dry natural gas exports, Togo, Annual",TGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-THA-BCF.A,"Dry natural gas exports, Thailand, Annual",THA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-TJK-BCF.A,"Dry natural gas exports, Tajikistan, Annual",TJK,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-TKM-BCF.A,"Dry natural gas exports, Turkmenistan, Annual",TKM,--,--,--,--,--,--,--,--,--,--,--,--,1879,2144,1109,971,1137,738,304,590,1381,1363,1483,1533,1483,1596,1636,1851,1971,595,709,1245,1265,1457,1589,1423,1284,1347,1485,1350,,
0,INTL.26-4-TLS-BCF.A,"Dry natural gas exports, Timor-Leste, Annual",TLS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,147,200,230,232,212,196,194,228,222,272,223,204,206,180,,
0,INTL.26-4-TON-BCF.A,"Dry natural gas exports, Tonga, Annual",TON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-TTO-BCF.A,"Dry natural gas exports, Trinidad and Tobago, Annual",TTO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,77,139,139,188,421,492,560,574,663,613,697,676,623,626,626,615,547,531,547,619,624,518,
0,INTL.26-4-TUN-BCF.A,"Dry natural gas exports, Tunisia, Annual",TUN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-TUR-BCF.A,"Dry natural gas exports, Turkey, Annual",TUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,15,25,23,25,22,24,22,22,24,22,24,27,,
0,INTL.26-4-TUV-BCF.A,"Dry natural gas exports, Tuvalu, Annual",TUV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-TWN-BCF.A,"Dry natural gas exports, Taiwan, Annual",TWN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-TZA-BCF.A,"Dry natural gas exports, Tanzania, Annual",TZA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-UGA-BCF.A,"Dry natural gas exports, Uganda, Annual",UGA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-IND-BCF.A,"Dry natural gas exports, India, Annual",IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,2.5,2.7,1.3,3.2,,
0,INTL.26-4-IRL-BCF.A,"Dry natural gas exports, Ireland, Annual",IRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-IRN-BCF.A,"Dry natural gas exports, Iran, Annual",IRN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,106,0,18,0,3.5,3.5,0,0,0,0,4.2,24,124,126,153,201,218,145,209,297,314,326,337,339,296,296,442,523,622,,
0,INTL.26-4-IRQ-BCF.A,"Dry natural gas exports, Iraq, Annual",IRQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-FLK-BCF.A,"Dry natural gas exports, Falkland Islands, Annual",FLK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-FRA-BCF.A,"Dry natural gas exports, France, Annual",FRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,18,37,20,26,25,28,47,28,26,27,28,27,27,27,32,32,39,35,30,54,41,214,177,250,191,131,213,209,381,321,
0,INTL.26-4-FRO-BCF.A,"Dry natural gas exports, Faroe Islands, Annual",FRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-FSM-BCF.A,"Dry natural gas exports, Micronesia, Annual",FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-GAB-BCF.A,"Dry natural gas exports, Gabon, Annual",GAB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-GBR-BCF.A,"Dry natural gas exports, United Kingdom, Annual",GBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,22,31,36,55,65,104,275,530,457,459,537,346,326,360,367,406,430,565,593,462,348,404,500,368,404,274,292,339,243
0,INTL.26-4-GEO-BCF.A,"Dry natural gas exports, Georgia, Annual",GEO,--,--,--,--,--,--,--,--,--,--,--,--,7.1,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-GHA-BCF.A,"Dry natural gas exports, Ghana, Annual",GHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-GIB-BCF.A,"Dry natural gas exports, Gibraltar, Annual",GIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
